# Anchored Fourier/discrepancy experiment
# ks=5,10,20,40,80 H=10000 order=4 search_limit=100000 detail_k=80
k	m	H	density	expected	actual	discrepancy	first_n	gap	C1	singleton_L1	cancel_ratio	C2	C3	C4	residual_after_C4	log10_full_Fourier_L1	max_inv_err
5	1	10000	0.28571429	2857.1429	2858	0.85714286	13	3	0.85714286	1.4565242	0.58848515	0	0	0	4.1855408e-13	0.10856108	1.0634702e-15
10	4	10000	0.0040918833	40.918833	37	-3.9188335	220	200	-0.057286367	0.14766756	0.38794146	-0.22284527	-0.073718851	-3.564983	-1.070255e-13	0.68591918	4.6871423e-15
20	4	10000	0.0065995773	65.995773	64	-1.9957728	550	510	0.01139927	0.48055974	0.023720818	-0.72860039	-0.56459652	-0.71397518	-2.8865799e-13	1.0600707	1.0512062e-14
40	10	10000	2.7061294e-07	0.0027061294	0	-0.0027061294	NA	NA	4.2354913e-06	9.4644902e-05	0.044751394	-0.0010782841	-0.00039110972	0.00889569	-0.010136661	2.902998	3.1198303e-14
80	15	10000	1.5844122e-09	1.5844122e-05	0	-1.5844122e-05	NA	NA	1.1596236e-07	1.4362619e-06	0.080739006	-3.2951051e-05	-4.7814821e-05	2.4499329e-05	4.0306459e-05	5.5499443	5.4927712e-14
# top 10 singleton modes for k=80
p	a	|b|	arg_b	anchor_phase	|D_H|	term_real	term_imag	|term|
113	112	0.86561108	-0.88965456	3.6142216	35.970176	1.8083984e-08	4.5898473e-08	4.9332548e-08
113	1	0.86561108	0.88965456	2.6689637	35.970176	1.8083984e-08	-4.5898473e-08	4.9332548e-08
107	1	0.89863236	0.76337765	3.1709533	33.767164	2.8373516e-08	-3.881264e-08	4.8077826e-08
107	106	0.89863236	-0.76337765	3.112232	33.767164	2.8373516e-08	3.881264e-08	4.8077826e-08
131	130	0.7687566	-1.1990812	4.8442879	36.281031	-3.8182158e-08	2.2248433e-08	4.4191288e-08
131	1	0.7687566	1.1990812	1.4388974	36.281031	-3.8182158e-08	-2.2248433e-08	4.4191288e-08
157	1	0.64877242	1.520771	0.16008115	40.955498	-3.2189533e-08	-2.7132413e-08	4.2099096e-08
157	156	0.64877242	-1.520771	6.1231042	40.955498	-3.2189533e-08	2.7132413e-08	4.2099096e-08
83	1	0.9980907	0.075701028	5.9046802	26.383449	1.6148685e-08	3.8470541e-08	4.1722446e-08
83	82	0.9980907	-0.075701028	0.37850514	26.383449	1.6148685e-08	-3.8470541e-08	4.1722446e-08
